no,id_document,tahun_terbit,nama_jurnal,judul_artikel,nama_penulis,kata_kunci,abstrak
11,doc11,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",A Multi-Objective Optimization Model For Sustainable Supply Chain Network,"Nurul Fadhillah, Sawaluddin Sawaluddin, Saib Suwilo","Sustainable Supply Chain, Multi-Objective Optimization, Mixed-Integer Linear Programming","Sustainable supply chains provide a strategic approach to tackling global challenges associated with operational efficiency and the three dimensions of sustainability: economic, environmental, and social. This research develops a multi-objective optimization model that integrates all three elements into the supply chain network. This model encompasses objectives like profit maximization, carbon emission reduction, waste minimization, enhancement of worker welfare, and resource optimization. This model's constraints embody actual restrictions, encompassing production and distribution capacity, demand, emissions, and social welfare. This case study of Mega Motor Company demonstrates the practical use of the methodology. This model is assessed using synthetic data through the Mixed-Integer Linear Programming (MILP) approach to determine its efficacy in meeting sustainability objectives. The evaluation results indicate that this model can deliver balanced solutions to enhance long-term efficiency and sustainability. This model functions as a strategic decision-making instrument for firms aiming to thoroughly establish a sustainable supply chain system."
12,doc12,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Hamming Weight-Based Simulation of Correlation Power Analysis for AES Key Extraction,"Andysah Putera Utama Siahaan, Phaklen Ehkan, Insaf Ullah","Hamming Weight, Correlation Power Analysis, AES, key recovery, Python simulation, Pearson correlation, countermeasures, cryptographic analysis","This study investigates the effectiveness of Correlation Power Analysis (CPA) using the Hamming Weight model to extract AES encryption keys in a fully software-simulated environment. By leveraging Python programming, we emulate power traces not from hardware devices but through Hamming Weight calculations derived from byte-level operations during AES encryption. Simulated plaintexts are randomly generated, and key hypotheses are evaluated using Pearson correlation between expected bit-switching activity and simulated traces. The method achieved approximately 50% accuracy with just 10 plaintexts and up to 85% accuracy when using over 1,000 simulated inputs. Correlation coefficients above 0.90 were consistently observed for most key bytes. While the simulation avoids the complexity of real-world noise and hardware interference, it also lacks authentic electrical characteristics. This highlights both the novelty and the limitation of a software-only CPA framework. The findings underline the vulnerability of AES to side-channel attacks and suggest countermeasures like masking to reduce risk."
13,doc13,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Numerical Modeling Based on The Finite Element Method by Fortran90 Software on Beam-Column Joint,"Adi Susetyo Dermawan, Syarifuddin Ishak, Hadi Surya Wibawanto Sunarwadi, Ichwan Setiawan",Modelling; Numeric; experimental; FEM; Fortran90; beam-column joint,This research discusses the finite element modeling of flexural failure in beam-column joints subjected to monotonic loads. This research aims to model numerically based on the finite element method by Fortran90 software on beam-column joint. The analysis is conducted using two-dimensional finite element method with three sides (triangular). The method used is quantitative and experimental. Validation testing is carried out on beam-column joint specimens with beam dimensions of 15x20 cm and column dimensions of 20x20 cm (a length of 100 cm). The compressive strength of the beam-column joint is 21 MPa. The test was conducted with a loading pattern at the end of the beam at a height of 1 m from the column. The comparison between the calculations using laboratory testing and the finite element method shows very consistent results.
14,doc14,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",A Data-Driven Framework for Integrating Decision-Making and Operational Efficiency in Multi-Product Retail: A Case Study with Experimental Evaluation,"Solly Aryza, Muhammad Syahputra Novelan, Muhammad Remanul Islam",Optimization; Data-Driven Decision Making; Supply performance,"In today’s highly competitive retail and industrial landscape, multiproduct retail systems face growing challenges due to complex operations, fluctuating demand, and market uncertainty. This paper presents a data-driven framework for optimizing integrated decision-making and enhancing operational efficiency. By utilizing historical transaction data and advanced analytical techniques, the model combines key operational functions—including demand forecasting, inventory management, and resource allocation—to support real- time, data-informed decisions. The approach employs predictive modeling and optimization algorithms to minimize operational costs while maintaining product availability and service level targets. The initial model features five interconnected components: inspection, distribution, disposal, recovery, and retail centers. However, it currently excludes forward logistics, fleet operations, and is limited to a single product and planning period. To address supplier uncertainty, a deterministic equivalent formulation is introduced, relying on the estimation of statistical moments from limited data. Since supplier selection is critical to effective sourcing strategies, improving this process directly enhances supply chain performance. The study highlights that accurately identifying and modeling operational uncertainties is essential for achieving robust and optimal outcomes in retail environments."
15,doc15,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Intelligent Actuator Control in Smart Agriculture through Machine Learning and Sensor Data Integration,"Fadhillah Azmi, M. Khalil Gibran, Insidini Fawwaz, Rina Anugrahwaty, Amir Saleh",Internet of Things (IoT); Smart Argiculture; Machine Learning; Predicting Actuator; Gradient Boosting,"Smart agriculture leverages Internet of Things (IoT) technology to develop intelligent greenhouses capable of monitoring and responding to environmental changes in real time. This study proposes the use of machine learning to analyze real-time sensor data—such as temperature, humidity, water level, and soil nutrient levels (N, P, K)—to determine the optimal timing for activating actuators, including fans, irrigation systems, and water pumps. In the initial stage, the study utilized the ""IoT Agriculture 2024"" dataset from Kaggle, which consists of 37,922 records and 13 attributes describing crop and environmental conditions. This dataset was used to train a robust machine learning model based on gradient boosting to support intelligent actuator control decisions. The model demonstrated strong predictive accuracy, achieving 99.62%. In the final stage, the model was evaluated in a simulated IoT-based agricultural system using synthetic sensor data designed to mimic real-world readings of temperature, humidity, soil moisture, and nutrient concentrations. The model achieved a high validation accuracy of 99.55%, indicating its reliability and robustness within the simulated environment. These results demonstrate that the integration of machine learning with real-time sensor data is an effective strategy for automating actuator control in smart greenhouses. The proposed approach has the potential to reduce manual intervention, optimize resource utilization, and improve overall agricultural productivity. This study contributes to the advancement of adaptive, data-driven precision agriculture systems that support long-term food security."
16,doc16,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Implementation of Entry Age Normal and Projected Unit Credit Methods in Pension Fund Calculation,"Tua Halomoan Harahap, Maysarah Maysarah, Wisam Ch. Alisawi, Abeer H. Jabbar, Faisal Muhammad",Food Crops Productivity; Clustering K-Means,"Pension funds are financial assets provided to individuals who have retired due to reaching retirement age. PT. Pasifik Arta Indonesia, a company established in Medan for approximately five years, lacks a comprehensive understanding of pension funding, specifically concerning normal contributions and actuarial obligations for employees and agencies using the EAN and PUC methods. This study aims to provide an overview of pension fund calculations at PT. Pasifik Arta Indonesia by comparing the two methods. The results show that normal contributions under the PUC method increase with the length of service, whereas the EAN method maintains constant contributions regardless of service length. Both methods share a common trait: the younger the employee at the time of hiring, the lower the normal contribution. Regarding actuarial obligations, both methods exhibit increasing values with longer service, with the EAN method resulting in higher obligations compared to the PUC method."
17,doc17,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Optimization Of a Smart GPS Tracker System to Measure Truck Speed Performance,"Dewi Yuniar, Zony Yulfadli, Mohammad Alnakhli","Smart GPS tracker, measure, coal truck, speed performance","Smart GPS v 3.3"" offers features that traditional systems lack, such as real-time monitoring and advanced travel behavior analysis. This study evaluates the speed of trucks and travel performance using Smart GPS v 3.3 and a tracking system from the stockpile to the port (93.89 km). The methods used were field observation and data collection through smart GPS software. The results show that the trucks average speed/month is 31 km/h for loaded trucks and 57 km/h for empty trucks. The average travel time for loaded trucks is 3:05:36, while for empty trucks it is 2:13:48. In the morning, the travel time for loaded trucks is 2:50:49, and at night it is 3:31:28. The travel time for empty trucks in the morning is 2:50:49 and at night is 2:29:11. The use of GPS serves as an evaluation tool for the coal transport for companies to streamline distribution."
18,doc18,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Integrating Self-Organizing Maps and K-Means in a Multidimensional Approach to Enhance Private University Market Segmentation,"Amalia Nur Alifah, Wachda Yuniar Rochmah, Evellyn Verity Mesak",Data-Driven Decision Making; Educational Marketing; K-Means Clustering; School Segmentation; Self-Organizing Maps (SOM),"Educational institutions face challenges in attracting prospective students while maintaining academic quality and resource efficiency. This study applies a hybrid approach that integrates Self-Organizing Maps (SOM) and K-Means to cluster schools based on four attributes, namely the number of accounts, average UTBK scores, geographical distance, and parental income. The analysis's findings produce three distinct clusters. With a high degree of attribute variation, Cluster 2 (279 schools) is a dominant group that suggests the possibility of extensive marketing campaigns. Clusters 1 (45 schools) and 3 (81 schools), on the other hand, are more uniform and call for a more specialized and focused strategy. These results imply that a data-driven approach can help institutions create interventions that are specific to each segment's profile and increase the efficacy of educational marketing strategies. In order to improve segmentation accuracy in the future, this study creates opportunities for investigating new features and dynamic clustering techniques."
19,doc19,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Integer Linear Programming for Patchwork Production Planning Optimization with Demand Uncertainty,"Afnaria Afnaria, Rina Filia Sari, Dhia Octariani, Isnaini Halimah Rambe",Mathematical Modelling; Demand Uncertainty; Patchwork Products; Linear Programming; Production planning,"This study develops an Integer Linear Programming (ILP) model to optimize monthly production planning for handcrafted patchwork MSMEs in Medan, Indonesia. The model incorporates key operational constraints, including production time, material and handling costs, labor, electricity, capital limits, and uncertain demand. Demand uncertainty is modeled deterministically using upper and lower bounds derived from historical field data. The objective function maximizes total profit while ensuring resource feasibility. A real-world case study involving five products across five artisans is presented, resulting in a maximum profit of IDR 12,469,900. The model is implemented using LINGO 18.0 and validated through sensitivity analyses. Results show that a 50% reduction in demand may reduce profit by up to 33.8%, while an increase in lead time can lower profit by 17.1%. These findings demonstrate the model’s robustness and its potential to serve as a decision-support tool for MSMEs facing volatile market conditions and operational constraints."
20,doc20,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Using an LSTM Neural Network to Improve Symmetric and Asymmetric GARCH Volatility Forecast,"Setya Budi Rahmawanto, Didit Budi Nugroho, Suryasatriya Trihandaru",Financial Time Series; GARCH; Hybrid Model; LSTM; Volatility Forecasting,"Volatility forecasting is crucial for financial risk management, yet traditional models like GARCH struggle with nonlinearities and asymmetric effects. This study leverages Long Short-Term Memory (LSTM) neural networks to enhance symmetric and asymmetric GARCH models, addressing these limitations. By integrating LSTM with GARCH, GARCH-X, and Realized GARCH frameworks, we propose hybrid models (Baseline and Extended versions) to improve forecasting accuracy. Using daily data from FTSE 100, Nikkei 225, and S&P 500 indices (2000–2020), we compared hybrid models against traditional models. Results show that the Extended LSTM hybrid model outperforms both traditional GARCH-type models and the Baseline LSTM, capturing complex volatility patterns more effectively. The Extended model’s architecture, featuring ReLU, GRU, and dropout layers, mitigates over-smoothing and enhances responsiveness to market fluctuations. This research demonstrates LSTM’s potential to refine volatility forecasting, offering valuable insights for investors and risk managers."
21,doc21,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Decoding the Trends and Progress of Artificial Intelligence in E-commerce Over the Last Decade,Ihwana As'ad,artificial intelligence; bibliometrics analysis; e-commerce; scopus database,"Through process improvement, growth acceleration, and business landscape transformation, artificial intelligence (AI) has transformed online businesses and accelerated digital transformation. The purpose of this study is to presents a conceptual overview of artificial intelligence (AI) in E-commerce. Potential research themes, explored through content analysis and visualization techniques, offer deeper understanding of the knowledge landscape in this field. This study utilized VOSviewer and R-bibliometrix to conduct data analysis and network visualization the scientific output of 811 research articles form Scopus, WoS and PubMed database from 2000 to 2024, including the number of publications, countries, journal, citations, authors, and keywords. The results of this research show that China and USA emerges as the country with the significant contributions to the development of research related to artificial intelligence in e-commerce, which is dominated by affiliations from Zhejiang University. In the analysis of the relationship between topics, two clusters were obtained, the most dominant topics with keyword “human” and “neural network”. Neural networks are included in AI algorithms that has characteristics similar to the human brain and have the ability to operate more efficiently and profitably in e-commerce. Researchers will gain important insights into the current landscape, as well as collaborative frameworks to suggest directions for future research."
22,doc22,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Geographically Weighted Negative Binomial Regression (GWNBR) Modeling of Tuberculosis (TB) in North Sumatra,"Afrila Ayunda, Ismail Husein, Ulrich Faigle","GWNBR, North Sumatra Tuberculosis, Spatial Heterogeneity, Negative Binomial Regression","Tuberculosis (TB) remains a serious public health challenge in North Sumatra, Indonesia, necessitating precise statistical modeling to understand its spatial patterns and associated risk factors. This study applies three statistical approaches — Poisson Regression, Negative Binomial Regression (NBR), and Geographically Weighted Negative Binomial Regression (GWNBR) — to investigate the distribution of TB cases across 33 districts and cities in North Sumatra in 2022. An overdispersion test revealed significant variance, indicating the inappropriateness of the Poisson model. The NBR model identified the number of medical personnel as the sole significant covariate, yielding an AIC of 478.31. A Breusch–Pagan test confirmed significant spatial heterogeneity across areas, justifying the use of GWNBR. The GWNBR approach captured spatially varying relationships between TB incidence and covariates, providing more localized insights and yielding an AIC of 512.34. The findings highlight the importance of adopting spatially adaptive methods when modeling disease patterns, allowing for targeted, area-specific public health interventions."
23,doc23,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",LASSO Quantile Regression for Predictive Modeling of Dengue Hemorrhagic Fever Incidence in Indonesia,"Samsul Arifin, Dewi Anggraini, Dewi Sri Susanti",Dengue Hemorrhagic Fever (DHF); Quantile Regression; LASSO; Multicollinearity,"Dengue Hemorrhagic Fever (DHF) is an endemic disease that continues to burden public health in Indonesia, characterized by an uneven pattern of distribution influenced by various environmental, social, and economic factors. This study aims to develop a predictive model for DHF incidence using the LASSO Quantile Regression approach, which can reveal the influence of predictor variables across different quantiles while addressing multicollinearity and overfitting issues. The data used includes nine predictor variables obtained from BPS and BMKG for the year 2025. The estimation results show that the urban/rural Area Size consistently affects all quantiles, while the percentage of population living in poverty and the number of healthcare facilities are significant only at the 0.25 and 0.50 quantiles. Model evaluation indicates that this approach provides good predictive performance, especially at the 0.25 quantile, with a R² pseudo value of 0.2838. These findings suggest that the LASSO Quantile Regression method is effective in identifying the determinants of DHF in Indonesia."
24,doc24,2025,"ZERO: Jurnal Sains, Matermatika, dan Terapan ",Spatial Modeling of Food Security Index in Central Java Using Mixed Geographically Weighted Regression,"Nur Chamidah, Toha Saifudin, Arinda Mahadesyawardani, Nathania Fauziah, Rizky Dwi Kurnia Rahayu, Kimberly Maserati Siagian, Ezha Easyfa Wieldyanisa",Fixed Gaussian Kernel; Food Security Index; Mixed Geographically Weighted Regression; SDGs,"Central Java plays an important role in Indonesia’s food security, ranking second nationally in the 2023 Food Security Index (FSI). However, nearly 45% of its districts/cities fall below the provincial average, reflecting spatial disparities. This study applies the Mixed Geographically Weighted Regression (MGWR) method to model the factors influencing FSI in Central Java by considering global and local spatial heterogeneity. Six clusters were formed based on similar characteristics. The MGWR model identifies that the factor of households not having access to clean water has a global negative effect which contributes 0.1710 points in decreasing the FSI, while population density is the dominant local factor that has a significant negative effect on the FSI in 21 districts/cities, covering approximately 60% of the area in Central Java. The MGWR model using a fixed Gaussian kernel outperforms global regression and GWR, with the lowest AIC, highest (93.11%), and a MAPE of 1.00838%."
